time,H,R,E,F,A
2019/5/6 9:31,0.0,0.0,1.0,0.0,0.8059999999999999
2019/5/6 9:35,0.0,0.0,1.0,0.0,0.812
2019/5/6 9:36,0.0,0.0,1.0,0.0,0.81
2019/5/6 9:39,0.0,0.0,1.0,0.0,1.5959999999999999
2019/5/6 9:40,0.0,0.0,1.0,0.0,1.208
2019/5/6 9:41,0.0,0.0,1.0,0.0,0.972
2019/5/6 9:42,0.0,0.0,1.0,0.0,0.919
2019/5/6 9:43,0.0,0.0,1.0,0.0,1.121
2019/5/6 9:44,0.0,0.0,1.0,0.0,1.151
2019/5/6 9:45,0.0,0.0,1.0,0.0,1.626
2019/5/6 10:00,0.0,0.0,0.0,1.0,0.818
2019/5/6 10:01,0.0,0.0,0.0,1.0,0.848
2019/5/6 10:02,0.0,0.0,0.0,1.0,0.997
2019/5/6 10:03,0.0,0.0,0.0,1.0,1.161
2019/5/6 10:04,1.0,1.0,0.0,1.0,1.4140000000000001
2019/5/6 10:07,0.0,0.0,1.0,0.0,0.919
2019/5/6 10:08,0.0,0.0,1.0,0.0,1.0390000000000001
2019/5/6 10:09,0.0,0.0,1.0,0.0,1.03
2019/5/6 10:10,0.0,0.0,1.0,0.0,0.851
2019/5/6 10:11,0.0,0.0,1.0,0.0,0.9470000000000001
2019/5/6 10:14,0.0,0.0,1.0,0.0,0.905
2019/5/6 10:17,0.0,0.0,1.0,0.0,0.8270000000000001
2019/5/6 10:18,0.0,0.0,1.0,0.0,0.8690000000000001
2019/5/6 10:23,0.0,0.0,1.0,0.0,0.976
2019/5/6 10:25,0.0,0.0,1.0,0.0,0.935
2019/5/6 10:26,0.0,0.0,1.0,0.0,0.97
2019/5/6 10:27,0.0,0.0,1.0,0.0,0.9179999999999999
2019/5/6 10:28,0.0,0.0,1.0,0.0,0.846
2019/5/6 10:29,0.0,0.0,1.0,0.0,0.9590000000000001
2019/5/6 10:30,0.0,0.0,1.0,0.0,0.9
2019/5/6 10:31,9.0,9.0,1.0,0.0,0.978
2019/5/6 10:32,0.0,0.0,1.0,0.0,0.9620000000000001
2019/5/6 10:33,0.0,0.0,1.0,0.0,0.985
2019/5/6 10:34,0.0,0.0,1.0,0.0,0.993
2019/5/6 10:35,0.0,0.0,1.0,0.0,1.238
2019/5/6 10:36,0.0,0.0,1.0,0.0,3.5060000000000002
2019/5/6 10:41,0.0,0.0,1.0,0.0,2.575
2019/5/6 10:42,0.0,0.0,1.0,0.0,2.045
2019/5/6 10:43,0.0,0.0,1.0,0.0,1.3840000000000001
2019/5/6 10:44,1.0,1.0,1.0,0.0,1.4880000000000002
2019/5/6 10:45,0.0,0.0,1.0,0.0,1.236
2019/5/6 10:46,0.0,0.0,1.0,0.0,1.181
2019/5/6 10:47,0.0,0.0,1.0,0.0,1.119
2019/5/6 10:48,0.0,0.0,1.0,0.0,0.971
2019/5/6 10:49,0.0,0.0,1.0,0.0,0.997
2019/5/6 10:50,0.0,0.0,1.0,0.0,0.8009999999999999
2019/5/6 10:56,0.0,0.0,1.0,0.0,0.853
2019/5/6 10:57,0.0,0.0,1.0,0.0,0.899
2019/5/6 10:58,0.0,0.0,1.0,0.0,1.016
2019/5/6 10:59,0.0,0.0,1.0,0.0,1.01
2019/5/6 11:00,0.0,0.0,1.0,0.0,0.922
2019/5/6 11:02,0.0,0.0,0.0,1.0,2.833
2019/5/6 11:03,0.0,0.0,0.0,1.0,1.265
2019/5/6 11:04,0.0,0.0,0.0,1.0,1.178
2019/5/6 11:05,0.0,0.0,0.0,1.0,1.107
2019/5/6 11:06,9.0,9.0,0.0,1.0,1.0270000000000001
2019/5/6 11:10,0.0,0.0,1.0,0.0,1.208
2019/5/6 11:11,0.0,0.0,1.0,0.0,1.0
2019/5/6 11:13,0.0,0.0,0.0,1.0,5.245
2019/5/6 11:14,0.0,0.0,0.0,1.0,1.324
2019/5/6 11:15,0.0,0.0,0.0,1.0,1.157
2019/5/6 11:16,0.0,0.0,0.0,1.0,1.258
2019/5/6 11:17,0.0,0.0,0.0,1.0,0.948
2019/5/6 11:18,0.0,0.0,1.0,0.0,1.723
2019/5/6 11:21,0.0,0.0,1.0,0.0,0.8029999999999999
2019/5/6 11:22,0.0,0.0,1.0,0.0,0.813
2019/5/6 11:25,0.0,0.0,1.0,0.0,0.898
2019/5/6 13:07,0.0,0.0,1.0,0.0,1.358
2019/5/6 13:08,0.0,0.0,1.0,0.0,1.203
2019/5/6 13:09,0.0,0.0,1.0,0.0,1.153
2019/5/6 13:10,0.0,0.0,1.0,0.0,0.93
2019/5/6 13:16,0.0,0.0,1.0,0.0,0.889
2019/5/6 13:18,0.0,0.0,1.0,0.0,0.838
2019/5/6 13:29,0.0,0.0,0.0,1.0,1.3730000000000002
2019/5/6 13:30,0.0,0.0,0.0,1.0,1.215
2019/5/6 13:31,0.0,0.0,0.0,1.0,0.9059999999999999
2019/5/6 13:32,0.0,0.0,0.0,1.0,0.937
2019/5/6 13:33,0.0,0.0,0.0,1.0,0.887
2019/5/6 13:34,0.0,0.0,0.0,1.0,0.997
2019/5/6 13:35,0.0,0.0,0.0,1.0,0.992
2019/5/6 13:39,1.0,1.0,0.0,1.0,1.571
2019/5/6 13:40,0.0,0.0,0.0,1.0,1.056
2019/5/6 13:44,0.0,0.0,1.0,0.0,1.5090000000000001
2019/5/6 13:45,0.0,0.0,1.0,0.0,0.8220000000000001
2019/5/6 13:46,0.0,0.0,1.0,0.0,0.846
2019/5/6 13:53,0.0,0.0,1.0,0.0,0.82
2019/5/6 13:55,9.0,9.0,1.0,0.0,0.9470000000000001
2019/5/6 14:00,0.0,0.0,0.0,1.0,2.9330000000000003
2019/5/6 14:01,0.0,0.0,0.0,1.0,1.42
2019/5/6 14:02,0.0,0.0,1.0,0.0,2.75
2019/5/6 14:03,0.0,0.0,1.0,0.0,1.3259999999999998
2019/5/6 14:04,0.0,0.0,1.0,0.0,1.1909999999999998
2019/5/6 14:05,0.0,0.0,1.0,0.0,1.151
2019/5/6 14:06,0.0,0.0,1.0,0.0,0.8809999999999999
2019/5/6 14:07,0.0,0.0,1.0,0.0,0.866
2019/5/6 14:08,0.0,0.0,1.0,0.0,0.88
2019/5/6 14:09,0.0,0.0,1.0,0.0,0.818
2019/5/6 14:12,0.0,0.0,1.0,0.0,0.816
2019/5/6 14:16,0.0,0.0,0.0,1.0,3.344
2019/5/6 14:17,0.0,0.0,0.0,1.0,1.936
2019/5/6 14:18,0.0,0.0,0.0,1.0,1.413
2019/5/6 14:19,0.0,0.0,0.0,1.0,1.287
2019/5/6 14:20,0.0,0.0,0.0,1.0,1.224
2019/5/6 14:21,0.0,0.0,0.0,1.0,1.149
2019/5/6 14:22,0.0,0.0,0.0,1.0,1.065
2019/5/6 14:23,0.0,0.0,0.0,1.0,0.861
2019/5/6 14:27,0.0,0.0,1.0,0.0,1.3359999999999999
2019/5/6 14:28,0.0,0.0,1.0,0.0,1.37
2019/5/6 14:29,0.0,0.0,1.0,0.0,1.088
2019/5/6 14:30,0.0,0.0,1.0,0.0,0.988
2019/5/6 14:31,0.0,0.0,1.0,0.0,1.182
2019/5/6 14:32,0.0,0.0,1.0,0.0,1.3969999999999998
2019/5/6 14:33,0.0,0.0,1.0,0.0,1.347
2019/5/6 14:34,0.0,0.0,1.0,0.0,0.858
2019/5/6 14:36,0.0,0.0,0.0,1.0,1.222
2019/5/6 14:37,0.0,0.0,0.0,1.0,1.9169999999999998
2019/5/6 14:38,0.0,0.0,0.0,1.0,1.662
2019/5/6 14:39,0.0,0.0,0.0,1.0,1.242
2019/5/6 14:43,0.0,0.0,0.0,1.0,0.986
2019/5/6 14:44,0.0,0.0,1.0,0.0,2.978
2019/5/6 14:47,0.0,0.0,0.0,1.0,4.532
2019/5/6 14:48,0.0,0.0,0.0,1.0,2.69
2019/5/6 14:50,0.0,0.0,0.0,1.0,1.673
2019/5/6 14:51,1.0,1.0,0.0,1.0,1.9569999999999999
2019/5/6 14:52,1.0,1.0,0.0,1.0,2.4330000000000003
2019/5/6 14:53,1.0,1.0,0.0,1.0,3.5
2019/5/6 14:58,0.0,0.0,1.0,0.0,1.489
2019/5/6 14:59,0.0,0.0,1.0,0.0,1.686
2019/5/7 9:37,9.0,9.0,1.0,0.0,1.047
2019/5/7 9:38,0.0,0.0,1.0,0.0,0.835
2019/5/7 9:39,0.0,0.0,1.0,0.0,0.825
2019/5/7 9:44,0.0,0.0,0.0,1.0,1.319
2019/5/7 9:45,0.0,0.0,0.0,1.0,0.9359999999999999
2019/5/7 9:46,0.0,0.0,0.0,1.0,0.8859999999999999
2019/5/7 9:52,0.0,0.0,1.0,0.0,2.101
2019/5/7 9:56,0.0,0.0,0.0,1.0,1.058
2019/5/7 9:57,0.0,0.0,0.0,1.0,0.995
2019/5/7 10:17,0.0,0.0,1.0,0.0,1.847
2019/5/7 10:18,0.0,0.0,1.0,0.0,1.0859999999999999
2019/5/7 10:20,0.0,0.0,1.0,0.0,1.002
2019/5/7 10:23,0.0,0.0,0.0,1.0,0.927
2019/5/7 10:33,0.0,0.0,1.0,0.0,1.359
2019/5/7 10:34,0.0,0.0,1.0,0.0,0.831
2019/5/7 10:35,0.0,0.0,1.0,0.0,0.856
2019/5/7 10:36,0.0,0.0,1.0,0.0,0.885
2019/5/7 10:40,0.0,0.0,1.0,0.0,0.946
2019/5/7 10:41,0.0,0.0,1.0,0.0,1.018
2019/5/7 10:42,0.0,0.0,1.0,0.0,0.9490000000000001
2019/5/7 10:43,0.0,0.0,1.0,0.0,0.904
2019/5/7 10:44,0.0,0.0,1.0,0.0,0.843
2019/5/7 10:46,0.0,0.0,1.0,0.0,0.816
2019/5/7 10:48,0.0,0.0,0.0,1.0,0.96
2019/5/7 10:49,0.0,0.0,0.0,1.0,0.9640000000000001
2019/5/7 10:50,0.0,0.0,0.0,1.0,0.828
2019/5/7 10:54,0.0,0.0,1.0,0.0,1.412
2019/5/7 10:55,0.0,0.0,1.0,0.0,1.275
2019/5/7 10:59,0.0,0.0,0.0,1.0,1.345
2019/5/7 11:00,0.0,0.0,0.0,1.0,1.131
2019/5/7 11:01,0.0,0.0,0.0,1.0,1.043
2019/5/7 11:03,0.0,0.0,0.0,1.0,0.861
2019/5/7 11:12,0.0,0.0,0.0,1.0,1.077
2019/5/7 11:14,0.0,0.0,1.0,0.0,1.536
2019/5/7 11:16,0.0,0.0,1.0,0.0,1.611
2019/5/7 11:17,0.0,0.0,1.0,0.0,1.245
2019/5/7 11:18,0.0,0.0,1.0,0.0,0.98
2019/5/7 11:19,0.0,0.0,1.0,0.0,1.258
2019/5/7 11:20,0.0,0.0,1.0,0.0,1.17
2019/5/7 11:21,0.0,0.0,1.0,0.0,0.977
2019/5/7 11:22,0.0,0.0,1.0,0.0,0.855
2019/5/7 11:23,0.0,0.0,1.0,0.0,0.953
2019/5/7 11:24,0.0,0.0,1.0,0.0,1.1179999999999999
2019/5/7 11:27,0.0,0.0,1.0,0.0,0.958
2019/5/7 13:04,0.0,0.0,1.0,0.0,0.813
2019/5/7 13:05,0.0,0.0,1.0,0.0,0.828
2019/5/7 13:18,0.0,0.0,1.0,0.0,0.855
2019/5/7 13:19,0.0,0.0,1.0,0.0,1.002
2019/5/7 13:22,0.0,0.0,1.0,0.0,0.877
2019/5/7 13:23,0.0,0.0,1.0,0.0,0.816
2019/5/7 13:28,0.0,0.0,0.0,1.0,0.8170000000000001
2019/5/7 13:38,0.0,0.0,1.0,0.0,2.153
2019/5/7 13:39,0.0,0.0,1.0,0.0,0.863
2019/5/7 13:41,0.0,0.0,0.0,1.0,2.6310000000000002
2019/5/7 13:42,0.0,0.0,0.0,1.0,1.319
2019/5/7 13:43,0.0,0.0,0.0,1.0,1.2209999999999999
2019/5/7 13:44,0.0,0.0,0.0,1.0,1.127
2019/5/7 13:45,0.0,0.0,0.0,1.0,1.006
2019/5/7 13:46,0.0,0.0,0.0,1.0,0.81
2019/5/7 13:47,0.0,0.0,0.0,1.0,0.9420000000000001
2019/5/7 13:48,0.0,0.0,0.0,1.0,1.12
2019/5/7 13:49,0.0,0.0,1.0,0.0,1.3659999999999999
2019/5/7 13:50,0.0,0.0,1.0,0.0,1.0659999999999998
2019/5/7 13:51,0.0,0.0,1.0,0.0,0.993
2019/5/7 13:52,0.0,0.0,1.0,0.0,0.87
2019/5/7 13:54,0.0,0.0,1.0,0.0,1.036
2019/5/7 13:55,0.0,0.0,1.0,0.0,0.972
2019/5/7 13:56,0.0,0.0,1.0,0.0,1.055
2019/5/7 13:59,0.0,0.0,1.0,0.0,1.061
2019/5/7 14:04,0.0,0.0,0.0,1.0,1.208
2019/5/7 14:05,0.0,0.0,0.0,1.0,0.9309999999999999
2019/5/7 14:06,0.0,0.0,0.0,1.0,0.841
2019/5/7 14:10,0.0,0.0,1.0,0.0,0.9790000000000001
2019/5/7 14:11,0.0,0.0,1.0,0.0,1.119
2019/5/7 14:12,0.0,0.0,1.0,0.0,0.9259999999999999
2019/5/7 14:14,0.0,0.0,1.0,0.0,0.9129999999999999
2019/5/7 14:15,0.0,0.0,1.0,0.0,0.924
2019/5/7 14:16,0.0,0.0,1.0,0.0,0.865
2019/5/7 14:19,0.0,0.0,1.0,0.0,0.937
2019/5/7 14:22,0.0,0.0,0.0,1.0,1.435
2019/5/7 14:23,0.0,0.0,0.0,1.0,1.06
2019/5/7 14:24,0.0,0.0,0.0,1.0,1.0759999999999998
2019/5/7 14:25,0.0,0.0,0.0,1.0,1.048
2019/5/7 14:26,0.0,0.0,0.0,1.0,1.088
2019/5/7 14:27,0.0,0.0,0.0,1.0,0.922
2019/5/7 14:28,0.0,0.0,0.0,1.0,0.885
2019/5/7 14:29,0.0,0.0,0.0,1.0,0.917
2019/5/7 14:30,0.0,0.0,0.0,1.0,1.034
2019/5/7 14:31,0.0,0.0,0.0,1.0,0.965
2019/5/7 14:32,0.0,0.0,0.0,1.0,0.871
2019/5/7 14:33,0.0,0.0,0.0,1.0,1.0190000000000001
2019/5/7 14:43,0.0,0.0,1.0,0.0,3.5410000000000004
2019/5/7 14:44,0.0,0.0,1.0,0.0,1.673
2019/5/7 14:45,0.0,0.0,1.0,0.0,1.2670000000000001
2019/5/7 14:46,0.0,0.0,1.0,0.0,1.037
2019/5/7 14:47,0.0,0.0,1.0,0.0,1.534
2019/5/7 14:48,0.0,0.0,1.0,0.0,2.075
2019/5/8 9:45,0.0,0.0,0.0,1.0,1.129
2019/5/8 9:49,0.0,0.0,1.0,0.0,1.449
2019/5/8 10:03,0.0,0.0,0.0,1.0,0.998
2019/5/8 10:04,0.0,0.0,0.0,1.0,0.851
2019/5/8 10:05,0.0,0.0,0.0,1.0,0.903
2019/5/8 10:13,0.0,0.0,1.0,0.0,1.306
2019/5/8 10:16,0.0,0.0,1.0,0.0,1.166
2019/5/8 10:28,0.0,0.0,0.0,1.0,0.8440000000000001
2019/5/8 10:29,0.0,0.0,0.0,1.0,0.877
2019/5/8 10:30,0.0,0.0,0.0,1.0,0.89
2019/5/8 10:33,0.0,0.0,1.0,0.0,0.8109999999999999
2019/5/8 10:34,0.0,0.0,1.0,0.0,1.097
2019/5/8 10:35,0.0,0.0,1.0,0.0,1.14
2019/5/8 10:36,0.0,0.0,1.0,0.0,1.239
2019/5/8 10:38,0.0,0.0,0.0,1.0,0.807
2019/5/8 10:42,0.0,0.0,0.0,1.0,0.807
2019/5/8 10:43,0.0,0.0,0.0,1.0,0.883
2019/5/8 10:44,0.0,0.0,0.0,1.0,0.8370000000000001
2019/5/8 10:45,0.0,0.0,0.0,1.0,0.856
2019/5/8 10:55,0.0,0.0,1.0,0.0,0.995
2019/5/8 10:56,0.0,0.0,1.0,0.0,0.904
2019/5/8 10:57,0.0,0.0,1.0,0.0,0.895
2019/5/8 10:58,0.0,0.0,1.0,0.0,0.84
2019/5/8 11:00,0.0,0.0,1.0,0.0,0.8540000000000001
2019/5/8 11:01,0.0,0.0,1.0,0.0,1.153
2019/5/8 11:06,0.0,0.0,1.0,0.0,1.5619999999999998
2019/5/8 11:08,0.0,0.0,0.0,1.0,1.148
2019/5/8 11:14,0.0,0.0,1.0,0.0,1.02
2019/5/8 11:18,0.0,0.0,0.0,1.0,0.968
2019/5/8 11:21,0.0,0.0,0.0,1.0,1.014
2019/5/8 11:22,0.0,0.0,0.0,1.0,0.9390000000000001
2019/5/8 11:23,0.0,0.0,0.0,1.0,0.945
2019/5/8 11:24,0.0,0.0,0.0,1.0,0.998
2019/5/8 11:25,0.0,0.0,0.0,1.0,1.003
2019/5/8 11:26,0.0,0.0,0.0,1.0,1.05
2019/5/8 11:29,0.0,0.0,1.0,0.0,1.121
2019/5/8 11:30,0.0,0.0,1.0,0.0,1.088
2019/5/8 13:01,0.0,0.0,1.0,0.0,1.36
2019/5/8 13:02,0.0,0.0,1.0,0.0,1.815
2019/5/8 13:03,0.0,0.0,1.0,0.0,1.704
2019/5/8 13:04,0.0,0.0,1.0,0.0,2.331
2019/5/8 13:05,0.0,0.0,1.0,0.0,2.576
2019/5/8 13:06,0.0,0.0,1.0,0.0,1.369
2019/5/8 13:07,0.0,0.0,1.0,0.0,0.871
2019/5/8 13:15,0.0,0.0,1.0,0.0,0.853
2019/5/8 13:36,0.0,0.0,1.0,0.0,0.816
2019/5/8 13:48,0.0,0.0,0.0,1.0,0.807
2019/5/8 13:53,0.0,0.0,0.0,1.0,0.8440000000000001
2019/5/8 13:54,0.0,0.0,0.0,1.0,0.8759999999999999
2019/5/8 13:59,0.0,0.0,1.0,0.0,0.887
2019/5/8 14:00,0.0,0.0,1.0,0.0,0.997
2019/5/8 14:08,0.0,0.0,0.0,1.0,1.053
2019/5/8 14:09,0.0,0.0,0.0,1.0,0.868
2019/5/8 14:10,0.0,0.0,0.0,1.0,0.8420000000000001
2019/5/8 14:15,0.0,0.0,1.0,0.0,1.071
2019/5/8 14:16,0.0,0.0,1.0,0.0,0.968
2019/5/8 14:17,0.0,0.0,1.0,0.0,0.866
2019/5/8 14:18,0.0,0.0,1.0,0.0,0.924
2019/5/8 14:19,0.0,0.0,1.0,0.0,0.877
2019/5/8 14:22,0.0,0.0,0.0,1.0,1.371
2019/5/8 14:23,0.0,0.0,1.0,0.0,2.3930000000000002
2019/5/8 14:24,0.0,0.0,1.0,0.0,1.165
2019/5/8 14:25,0.0,0.0,1.0,0.0,1.091
2019/5/8 14:26,0.0,0.0,1.0,0.0,0.961
2019/5/8 14:27,0.0,0.0,1.0,0.0,0.851
2019/5/8 14:28,0.0,0.0,1.0,0.0,0.846
2019/5/8 14:34,0.0,0.0,1.0,0.0,1.052
2019/5/8 14:35,0.0,0.0,1.0,0.0,0.892
2019/5/8 14:45,0.0,0.0,0.0,1.0,3.103
2019/5/8 14:46,0.0,0.0,0.0,1.0,0.909
2019/5/8 14:47,0.0,0.0,0.0,1.0,0.8540000000000001
2019/5/8 14:49,0.0,0.0,0.0,1.0,0.8029999999999999
2019/5/8 14:52,0.0,0.0,1.0,0.0,0.937
2019/5/8 14:53,0.0,0.0,1.0,0.0,0.865
2019/5/8 14:55,0.0,0.0,1.0,0.0,0.914
2019/5/9 9:43,0.0,0.0,0.0,1.0,0.914
2019/5/9 9:51,0.0,0.0,1.0,0.0,0.841
2019/5/9 9:53,0.0,0.0,1.0,0.0,0.9620000000000001
2019/5/9 9:54,0.0,0.0,1.0,0.0,1.1
2019/5/9 9:55,0.0,0.0,1.0,0.0,1.5859999999999999
2019/5/9 9:56,0.0,0.0,1.0,0.0,1.686
2019/5/9 10:00,1.0,1.0,1.0,0.0,1.297
2019/5/9 10:07,0.0,0.0,1.0,0.0,1.794
2019/5/9 10:08,0.0,0.0,1.0,0.0,1.2930000000000001
2019/5/9 10:09,0.0,0.0,1.0,0.0,2.9930000000000003
2019/5/9 10:10,0.0,0.0,1.0,0.0,4.739
2019/5/9 10:14,0.0,0.0,0.0,1.0,0.8540000000000001
2019/5/9 10:15,0.0,0.0,0.0,1.0,0.937
2019/5/9 10:16,9.0,9.0,0.0,1.0,1.28
2019/5/9 10:17,0.0,0.0,0.0,1.0,0.9840000000000001
2019/5/9 10:20,0.0,0.0,1.0,0.0,0.905
2019/5/9 10:21,0.0,0.0,1.0,0.0,0.929
2019/5/9 10:22,0.0,0.0,1.0,0.0,1.031
2019/5/9 10:23,0.0,0.0,1.0,0.0,1.172
2019/5/9 10:24,0.0,0.0,1.0,0.0,1.031
2019/5/9 10:25,0.0,0.0,1.0,0.0,0.956
2019/5/9 10:28,0.0,0.0,1.0,0.0,1.005
2019/5/9 10:29,0.0,0.0,1.0,0.0,0.9670000000000001
2019/5/9 10:30,0.0,0.0,1.0,0.0,0.836
2019/5/9 10:31,0.0,0.0,1.0,0.0,1.079
2019/5/9 10:32,0.0,0.0,1.0,0.0,0.972
2019/5/9 10:33,0.0,0.0,1.0,0.0,0.8340000000000001
2019/5/9 10:34,0.0,0.0,1.0,0.0,0.9640000000000001
2019/5/9 10:40,0.0,0.0,1.0,0.0,0.86
2019/5/9 10:41,0.0,0.0,1.0,0.0,0.899
2019/5/9 10:42,0.0,0.0,1.0,0.0,0.909
2019/5/9 10:43,0.0,0.0,1.0,0.0,0.892
2019/5/9 10:44,0.0,0.0,1.0,0.0,1.023
2019/5/9 10:45,0.0,0.0,1.0,0.0,1.294
2019/5/9 10:46,0.0,0.0,1.0,0.0,1.172
2019/5/9 10:47,0.0,0.0,1.0,0.0,1.5859999999999999
2019/5/9 10:48,0.0,0.0,1.0,0.0,1.476
2019/5/9 10:49,0.0,0.0,1.0,0.0,1.456
2019/5/9 10:51,0.0,0.0,0.0,1.0,0.961
2019/5/9 10:53,0.0,0.0,0.0,1.0,0.973
2019/5/9 10:54,0.0,0.0,0.0,1.0,0.893
2019/5/9 10:55,0.0,0.0,0.0,1.0,1.07
2019/5/9 10:56,0.0,0.0,0.0,1.0,0.863
2019/5/9 10:57,0.0,0.0,0.0,1.0,1.069
2019/5/9 10:58,0.0,0.0,0.0,1.0,1.197
2019/5/9 10:59,0.0,0.0,0.0,1.0,0.9690000000000001
2019/5/9 11:00,0.0,0.0,0.0,1.0,1.568
2019/5/9 11:02,0.0,0.0,1.0,0.0,0.992
2019/5/9 11:03,0.0,0.0,1.0,0.0,0.953
2019/5/9 11:04,0.0,0.0,1.0,0.0,1.091
2019/5/9 11:05,0.0,0.0,1.0,0.0,1.08
2019/5/9 11:06,0.0,0.0,1.0,0.0,1.167
2019/5/9 11:07,0.0,0.0,1.0,0.0,1.367
2019/5/9 11:08,0.0,0.0,1.0,0.0,2.231
2019/5/9 11:09,0.0,0.0,1.0,0.0,1.7990000000000002
2019/5/9 11:11,0.0,0.0,0.0,1.0,0.914
2019/5/9 11:12,0.0,0.0,0.0,1.0,1.61
2019/5/9 11:13,0.0,0.0,0.0,1.0,1.349
2019/5/9 11:14,0.0,0.0,0.0,1.0,1.3130000000000002
2019/5/9 11:15,0.0,0.0,0.0,1.0,1.208
2019/5/9 11:16,0.0,0.0,0.0,1.0,1.044
2019/5/9 11:17,0.0,0.0,0.0,1.0,1.078
2019/5/9 11:29,0.0,0.0,1.0,0.0,0.902
2019/5/9 11:30,0.0,0.0,1.0,0.0,0.9309999999999999
2019/5/9 13:01,0.0,0.0,1.0,0.0,1.0390000000000001
2019/5/9 13:02,0.0,0.0,1.0,0.0,1.254
2019/5/9 13:03,0.0,0.0,1.0,0.0,0.986
2019/5/9 13:04,0.0,0.0,1.0,0.0,0.85
2019/5/9 13:05,0.0,0.0,1.0,0.0,1.202
2019/5/9 13:06,0.0,0.0,1.0,0.0,1.209
2019/5/9 13:11,0.0,0.0,0.0,1.0,2.614
2019/5/9 13:12,0.0,0.0,0.0,1.0,1.5090000000000001
